,D005,D019,D004,D047,D020,D024,D031,D052,D012,D007,D036
IF2B3_HUMAN,15.25,15.03,15.02,15.3,15.34,15.24,15.1,14.8,15.17,14.7,14.6
ANPRC_HUMAN,18.53,18.84,18.88,19.02,18.83,18.71,18.65,18.22,17.91,17.99,17.91
MAP2_HUMAN,17.68,17.76,17.76,17.87,17.93,17.6,17.64,17.54,17.58,17.47,17.44
CPSF1_HUMAN,19.52,19.76,19.77,19.76,19.65,19.55,19.62,19.58,19.59,19.4,19.26
BGH3_HUMAN,20.41,20.59,20.46,20.66,20.48,20.37,20.48,20.23,20.14,19.97,20.05
KRI1_HUMAN,16.97,17.05,16.91,17.05,17.07,17.04,16.89,16.73,16.81,16.67,16.59
DCPS_HUMAN,18.61,18.59,18.43,18.51,18.53,18.42,18.54,18.44,18.25,18.14,17.6
MCMBP_HUMAN,17.73,17.69,17.8,17.75,17.67,17.66,17.71,17.67,17.74,17.58,17.44
CC50A_HUMAN,18.99,18.97,18.99,19.05,19.07,18.96,18.87,18.87,18.6,18.62,18.72
NDUAC_HUMAN,18.72,18.58,18.19,18.41,18.68,18.16,18.35,18.19,17.93,17.62,17.38
PAL4C_HUMAN,19.64,19.31,19.99,20.26,20.54,20.14,20.59,20.63,20.73,20.12,20.35
FB5L3_HUMAN,19.77,19.34,20.25,20.4,20.36,20.9,21.77,21.17,21.3,21.17,20.75
PDLI1_HUMAN,19.14,19.15,19.4,19.66,19.7,19.93,20.09,19.89,19.9,19.79,19.92
BT3A3_HUMAN,18.52,18.45,18.53,18.74,18.6,18.98,19.1,19.02,18.9,18.88,18.64
RNF13_HUMAN,17.82,17.6,18.68,18.47,18.78,18.74,18.96,18.42,18.87,18.92,18.57
PPIP1_HUMAN,17.26,16.93,17.4,17.37,18.01,17.85,17.63,17.58,17.76,17.77,17.56
TBCD4_HUMAN,16.53,16.61,16.73,16.83,16.9,17.1,17.32,17.3,17.2,17.2,17.19
M3K6_HUMAN,16.55,16.5,17.02,17.1,16.87,17.17,17.13,17.05,17.21,17.17,16.99
FA9_HUMAN,18.4,18.13,19.23,19.32,19.37,19.74,19.69,19.4,19.97,20.16,19.84
VWF_HUMAN,19.32,19.16,19.49,19.61,19.91,19.77,19.87,20.15,20.07,19.83,19.81
MYL1_HUMAN,18.74,18.79,19.06,19.14,19.16,19.27,19.22,19.26,19.29,19.36,19.09
TPM3_HUMAN,21.96,21.87,22,22.03,22.15,22.09,22.42,22.26,22.26,22.17,22.04
SAP_HUMAN,19.21,19.24,19.65,20.6,20.57,19.98,20.48,20.39,20.48,20.41,20.4
THIK_HUMAN,17.31,17.23,17.71,17.83,17.66,17.75,17.95,17.6,17.71,17.72,17.76
